,YEAR,base_monetaria_m0,base_monetaria_m1,base_monetaria_m3,cambio,divida_externa,exportacao,importacao,inflacao,pib,pib_industria,pib_nominal_brl,salario
59,1959,8.10545454545455e-05,0.000170836363636364,0.0,6.54545454545455e-14,18366716122.65084,7925129821.958458,7478981206.726014,39.433561881403,79665347840.42197,23831602373.88725,0.000843490909090909,1835.11228304306
60,1960,0.000109636363636364,0.00023705450909090902,0.0,6.90909090909091e-14,21057113314.275288,7717121829.57241,7863268657.624231,30.4686784983007,101882648961.67796,29848357283.940308,0.0011573090909090908,1385.94561762286
61,1961,0.000165127272727273,0.000361454545454546,0.0,1.09090909090909e-13,18926077534.312546,8445521309.8964615,7776504936.190707,47.7845023146622,93362228108.19496,28134280439.84268,0.0016919272727272728,1711.0483540486
62,1962,0.00028021818181818203,0.000593090909090909,0.0,1.67272727272727e-13,20034511483.99381,7224711412.59074,7758538617.160538,51.6029153956294,96396732015.99858,29135557176.784786,0.0027098909090909093,1653.43373426137
63,1963,0.0004977090909090911,0.000976363272727273,0.0,2.18181818181818e-13,19392015052.625385,8270006467.924971,7608631739.871817,79.9238993104433,131081319456.6944,40385331530.15416,0.004863927272727273,1642.02734018813
64,1964,0.000840981818181818,0.00177272727272727,0.0,6.63636363636364e-13,18285614929.87133,8286716123.797379,6296510953.981685,92.1205727592544,83248037778.8116,25010678484.719013,0.009532218181818182,974.731301223712
65,1965,0.00139781818181818,0.00318181818181818,0.0,8e-13,20820477659.696037,9115981030.739346,5374242943.663582,34.2416710899979,110797727013.01671,32316566418.38333,0.015513454545454546,1131.52308595424
66,1966,0.00173130909090909,0.00362145454545454,4.72727272727273e-06,8e-13,20430227374.05261,9704870708.872047,7263709317.877843,39.1223681550226,159052912090.13904,46545566003.32354,0.022832363636363637,1086.34979969489
67,1967,0.00221650909090909,0.00527745454545455,2.29090763636364e-05,9.81818181818182e-13,17836368578.41805,8991774938.842077,7835096493.612395,25.0110562730102,166677740529.33063,48187410024.86584,0.03010290909090909,935.43013515837
68,1968,0.00313421818181818,0.0073360000000000005,9.16363636363636e-05,1.38545454545455e-12,19775045775.568924,9842239079.257128,9704943761.443892,25.4892708930262,158140773862.85336,48431547416.761116,0.04188036363636364,940.698044205925
69,1969,0.0038687999999999995,0.009721814545454541,0.00024254545454545503,1.57454545454545e-12,22041449739.687626,11569728674.40929,9978183820.584702,19.3089811166117,175036834039.18472,54031119098.11412,0.05505454545454545,932.925058612098
70,1970,0.004494909090909089,0.0128927272727273,0.000757090909090909,1.78909090909091e-12,25322812051.649925,13098622668.579626,11989000478.240076,19.2603168687289,188880824734.79276,60789274809.25048,0.0706601104814772,922.584914426738
71,1971,0.006037454545454539,0.0168323636363636,0.00137563636363636,2.03636363636364e-12,30378933847.141945,13321662537.847513,14897664923.38747,19.4691614383746,211598799543.606,69971291122.12584,0.09392586015174027,914.73140528243
